Date,Description,Debit,Credit,Balance
05/08/2023,Vendor Payment,8531.73,,999991468.27
06/08/2023,Razorpay ,,1631.29,999993099.56
06/08/2023,NEFTIN ,,2182.74,999995282.31
06/08/2023,Cash Deposit ,,9172.51,1000004454.82
06/08/2023,Salry,5113.41,,999999341.41
06/08/2023,NEFT ,,4425.77,1000003767.17
07/08/2023,CHEQUE DEPOSIT ,,4341.53,1000008108.70
07/08/2023,Salary,5995.56,,1000002113.14
07/08/2023,Cash Deposit ,,579.27,1000002692.41
07/08/2023,AWS bill,4346.80,,999998345.61
07/08/2023,TRANSFER,163.09,,999998182.53
08/08/2023,AWS bill,1922.73,,999996259.80
08/08/2023,Google Ads,9335.20,,999986924.60
08/08/2023,NEFT,8970.71,,999977953.89
08/08/2023,Payment Gateway ,,9434.71,999987388.60
08/08/2023,NEFT ,,6897.15,999994285.75
09/08/2023,Cash Deposit ,,8891.62,1000003177.38
09/08/2023,NEFT,7478.22,,999995699.15
09/08/2023,facebook ADs,6410.15,,999989289.00
09/08/2023,facebook ADs,5804.87,,999983484.13
09/08/2023,AWS bill,8268.19,,999975215.94
10/08/2023,TRANSFER,7125.04,,999968090.90
10/08/2023,NEFT ,,4535.60,999972626.50
10/08/2023,Cash Deposit ,,8249.24,999980875.74
10/08/2023,Razorpay ,,6450.89,999987326.63
10/08/2023,Salry,3272.76,,999984053.87
11/08/2023,NEFT ,,2420.87,999986474.74
11/08/2023,TRANSFER,1761.12,,999984713.62
11/08/2023,Vendor Payment,6806.10,,999977907.52
11/08/2023,AWS bill,6557.31,,999971350.21
11/08/2023,Salry,5081.81,,999966268.40
12/08/2023,CHEQUE DEPOSIT ,,7307.39,999973575.79
12/08/2023,NEFT ,,4812.47,999978388.26
12/08/2023,TRANSFER ,,9420.36,999987808.62
12/08/2023,Salry,7773.64,,999980034.98
12/08/2023,NEFT,9097.44,,999970937.53
13/08/2023,Salary,7274.17,,999963663.37
13/08/2023,NEFTIN ,,6514.13,999970177.50
13/08/2023,Salry,5759.96,,999964417.53
13/08/2023,CHEQUE DEPOSIT ,,9332.32,999973749.85
13/08/2023,TRANSFER,7850.32,,999965899.54
14/08/2023,facebook ADs,4835.85,,999961063.69
14/08/2023,facebook ADs,3294.58,,999957769.10
14/08/2023,Razorpay ,,8903.83,999966672.94
14/08/2023,Razorpay ,,9199.12,999975872.06
14/08/2023,Cash Deposit ,,4285.51,999980157.57
15/08/2023,NEFTIN ,,2787.22,999982944.79
15/08/2023,NEFT ,,9178.33,999992123.13
15/08/2023,AWS bill,1988.50,,999990134.63
15/08/2023,AWS bill,880.11,,999989254.52
15/08/2023,NEFT,6090.29,,999983164.23
16/08/2023,CHEQUE DEPOSIT ,,3127.43,999986291.66
16/08/2023,Salry,6350.05,,999979941.60
16/08/2023,Razorpay ,,2106.04,999982047.64
16/08/2023,TRANSFER,2492.06,,999979555.59
16/08/2023,Salry,6194.33,,999973361.25
17/08/2023,Cash Deposit ,,404.02,999973765.27
17/08/2023,TRANSFER ,,6567.10,999980332.38
17/08/2023,facebook ADs,3108.07,,999977224.30
17/08/2023,Salry,6213.93,,999971010.38
17/08/2023,NEFT,717.30,,999970293.07
18/08/2023,NEFTIN ,,4407.41,999974700.48
18/08/2023,NEFT ,,9895.54,999984596.02
18/08/2023,CHEQUE DEPOSIT ,,4587.44,999989183.46
18/08/2023,Razorpay ,,2510.32,999991693.78
18/08/2023,Payment Gateway ,,6837.74,999998531.52
19/08/2023,Payment Gateway ,,9868.86,1000008400.38
19/08/2023,facebook ADs,1138.83,,1000007261.54
19/08/2023,Payment Gateway ,,9110.42,1000016371.96
19/08/2023,facebook ADs,7017.22,,1000009354.74
19/08/2023,NEFTIN ,,9823.96,1000019178.70
20/08/2023,CHEQUE DEPOSIT ,,6313.21,1000025491.90
20/08/2023,Salry,20.53,,1000025471.38
20/08/2023,Payment Gateway ,,9201.17,1000034672.55
20/08/2023,Payment Gateway ,,4045.00,1000038717.55
20/08/2023,TRANSFER ,,9638.18,1000048355.73
21/08/2023,facebook ADs,9765.81,,1000038589.93
21/08/2023,NEFT ,,6926.08,1000045516.01
21/08/2023,TRANSFER ,,5916.22,1000051432.23
21/08/2023,NEFT,2450.48,,1000048981.75
21/08/2023,Cash Deposit ,,664.84,1000049646.59
22/08/2023,TRANSFER,5946.49,,1000043700.11
22/08/2023,Salary,2094.14,,1000041605.96
22/08/2023,AWS bill,5470.35,,1000036135.62
22/08/2023,Salry,7515.51,,1000028620.11
22/08/2023,Salary,9723.52,,1000018896.58
23/08/2023,AWS bill,2413.21,,1000016483.37
23/08/2023,TRANSFER,68.61,,1000016414.77
23/08/2023,Razorpay ,,4995.00,1000021409.77
23/08/2023,NEFT ,,8977.05,1000030386.82
23/08/2023,TRANSFER ,,8309.02,1000038695.84
24/08/2023,facebook ADs,5198.34,,1000033497.49
24/08/2023,AWS bill,1269.74,,1000032227.76
24/08/2023,Vendor Payment,442.43,,1000031785.33
24/08/2023,AWS bill,4891.39,,1000026893.94
24/08/2023,Cash Deposit ,,1091.38,1000027985.32
25/08/2023,facebook ADs,1690.07,,1000026295.25
25/08/2023,TRANSFER ,,9811.13,1000036106.38
25/08/2023,TRANSFER,8883.66,,1000027222.72
25/08/2023,Vendor Payment,8487.89,,1000018734.83
25/08/2023,TRANSFER ,,7899.04,1000026633.87
26/08/2023,Payment Gateway ,,1571.46,1000028205.33
26/08/2023,Cash Deposit ,,3699.57,1000031904.91
26/08/2023,Cash Deposit ,,8522.47,1000040427.37
26/08/2023,Razorpay ,,932.54,1000041359.91
26/08/2023,Payment Gateway ,,798.69,1000042158.60
27/08/2023,TRANSFER ,,9357.81,1000051516.41
27/08/2023,Vendor Payment,2887.23,,1000048629.18
27/08/2023,Google Ads,9156.27,,1000039472.91
27/08/2023,NEFT ,,7215.38,1000046688.29
27/08/2023,TRANSFER ,,180.47,1000046868.76
28/08/2023,TRANSFER ,,9486.56,1000056355.32
28/08/2023,TRANSFER,5609.72,,1000050745.60
28/08/2023,AWS bill,9921.52,,1000040824.08
28/08/2023,Vendor Payment,45.21,,1000040778.87
28/08/2023,Cash Deposit ,,8364.71,1000049143.58
29/08/2023,TRANSFER,6929.37,,1000042214.21
29/08/2023,TRANSFER ,,7835.13,1000050049.34
29/08/2023,Payment Gateway ,,5622.39,1000055671.72
29/08/2023,NEFT,3245.98,,1000052425.74
29/08/2023,CHEQUE DEPOSIT ,,4959.49,1000057385.23
30/08/2023,NEFT ,,2164.29,1000059549.52
30/08/2023,Cash Deposit ,,2565.56,1000062115.08
30/08/2023,TRANSFER,9135.01,,1000052980.07
30/08/2023,NEFTIN ,,5647.19,1000058627.26
30/08/2023,TRANSFER,671.31,,1000057955.96
31/08/2023,Razorpay ,,5436.71,1000063392.67
31/08/2023,TRANSFER,5199.22,,1000058193.45
31/08/2023,NEFT ,,1551.10,1000059744.55
31/08/2023,CHEQUE DEPOSIT ,,397.37,1000060141.92
31/08/2023,NEFT,9351.54,,1000050790.38
01/09/2023,Salry,7801.31,,1000042989.07
01/09/2023,NEFT ,,5523.20,1000048512.27
01/09/2023,NEFT ,,2506.01,1000051018.28
01/09/2023,Cash Deposit ,,2386.77,1000053405.05
01/09/2023,Razorpay ,,675.82,1000054080.87
02/09/2023,NEFT ,,7452.98,1000061533.85
02/09/2023,facebook ADs,6213.45,,1000055320.40
02/09/2023,Google Ads,4871.89,,1000050448.51
02/09/2023,facebook ADs,9384.10,,1000041064.41
02/09/2023,facebook ADs,8111.94,,1000032952.47
03/09/2023,Google Ads,3711.67,,1000029240.80
03/09/2023,Vendor Payment,6165.90,,1000023074.90
03/09/2023,NEFT,6701.08,,1000016373.82
03/09/2023,Salary,3982.73,,1000012391.09
03/09/2023,CHEQUE DEPOSIT ,,8686.39,1000021077.48
04/09/2023,Salry,1744.91,,1000019332.57
04/09/2023,Salry,3960.80,,1000015371.77
04/09/2023,Payment Gateway ,,6682.20,1000022053.97
04/09/2023,Razorpay ,,8773.45,1000030827.42
04/09/2023,NEFTIN ,,1516.47,1000032343.89
05/09/2023,NEFTIN ,,2395.45,1000034739.34
05/09/2023,Salry,3532.57,,1000031206.77
05/09/2023,TRANSFER,3390.87,,1000027815.90
05/09/2023,Salry,7855.84,,1000019960.05
05/09/2023,CHEQUE DEPOSIT ,,7424.72,1000027384.77
06/09/2023,Salry,2776.24,,1000024608.53
06/09/2023,Razorpay ,,5747.76,1000030356.29
06/09/2023,Salry,6025.64,,1000024330.65
06/09/2023,Payment Gateway ,,6992.84,1000031323.49
06/09/2023,Google Ads,9970.10,,1000021353.39
07/09/2023,CHEQUE DEPOSIT ,,7490.15,1000028843.54
07/09/2023,Razorpay ,,7706.63,1000036550.18
07/09/2023,Payment Gateway ,,3558.52,1000040108.70
07/09/2023,Salry,2232.19,,1000037876.50
07/09/2023,Payment Gateway ,,5859.85,1000043736.36
08/09/2023,Google Ads,9735.79,,1000034000.57
08/09/2023,TRANSFER,9930.89,,1000024069.68
08/09/2023,NEFT,8513.71,,1000015555.97
08/09/2023,AWS bill,4382.15,,1000011173.82
08/09/2023,NEFT ,,7895.47,1000019069.29
09/09/2023,NEFT ,,5049.05,1000024118.34
09/09/2023,TRANSFER ,,6745.23,1000030863.57
09/09/2023,Salary,6815.18,,1000024048.38
09/09/2023,Razorpay ,,321.98,1000024370.37
09/09/2023,TRANSFER,3455.01,,1000020915.36
10/09/2023,AWS bill,2695.09,,1000018220.27
10/09/2023,NEFT,1489.83,,1000016730.45
10/09/2023,AWS bill,5286.33,,1000011444.12
10/09/2023,Razorpay ,,3554.04,1000014998.15
10/09/2023,Salry,6793.21,,1000008204.95
11/09/2023,Salry,4379.24,,1000003825.71
11/09/2023,CHEQUE DEPOSIT ,,9386.82,1000013212.52
11/09/2023,Salary,9293.31,,1000003919.21
11/09/2023,facebook ADs,9007.94,,999994911.28
11/09/2023,TRANSFER ,,9517.79,1000004429.06
12/09/2023,CHEQUE DEPOSIT ,,1807.87,1000006236.94
12/09/2023,Google Ads,8451.31,,999997785.62
12/09/2023,TRANSFER,1149.65,,999996635.97
12/09/2023,Cash Deposit ,,631.51,999997267.49
12/09/2023,NEFTIN ,,1648.65,999998916.14
13/09/2023,facebook ADs,7415.20,,999991500.94
13/09/2023,Salry,8040.35,,999983460.59
13/09/2023,Payment Gateway ,,2599.76,999986060.35
13/09/2023,Razorpay ,,8341.83,999994402.18
13/09/2023,Vendor Payment,7651.14,,999986751.04
14/09/2023,AWS bill,5480.73,,999981270.31
14/09/2023,CHEQUE DEPOSIT ,,2670.33,999983940.64
14/09/2023,TRANSFER ,,3646.56,999987587.20
14/09/2023,Vendor Payment,4381.40,,999983205.80